1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
201180_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201181_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201182_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,5,5
201183_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201184_s_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201185_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201186_at,8,6,8,7,3,1,5,1,3,8,1,3,1,8,1
201187_s_at,5,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201188_s_at,5,2,6,3,8,8,2,4,7,6,8,7,4,1,8
201189_s_at,8,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201190_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201191_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
201192_s_at,1,1,2,8,2,7,1,5,8,7,4,1,5,5,4
201193_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201194_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201195_s_at,8,6,4,7,3,1,5,1,3,8,1,3,1,8,1
201196_s_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,1
201197_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201198_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201199_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201200_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201201_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201202_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201203_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201204_s_at,5,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201205_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201206_s_at,2,2,3,1,2,8,2,4,7,1,2,7,4,6,8
201207_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201208_s_at,8,6,4,7,2,3,6,1,3,8,1,3,1,1,7
201209_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201210_at,5,4,4,2,3,1,7,3,3,3,1,3,1,8,7
201211_s_at,5,2,6,1,8,8,2,4,7,1,2,7,4,1,8
201212_at,8,6,8,7,6,3,5,1,3,8,1,3,1,8,5
201213_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201214_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201215_at,8,6,4,7,2,3,6,1,3,8,1,3,1,5,5
201216_at,8,6,4,7,6,3,5,1,3,8,1,3,1,5,5
201217_x_at,8,4,4,2,3,1,7,1,3,3,1,3,1,8,7
201218_at,2,2,6,1,8,8,2,4,7,1,2,7,4,6,8
201219_at,8,6,2,7,6,3,5,1,3,8,1,3,1,5,5
201220_x_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201221_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201222_s_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201223_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201224_s_at,8,6,2,7,6,3,5,1,8,8,1,3,5,5,5
201225_s_at,8,6,2,7,6,3,5,1,8,8,1,3,1,5,5
201226_at,1,1,2,8,6,3,1,5,8,7,4,1,5,5,5
201227_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201228_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201229_s_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201230_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201231_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201232_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201233_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201234_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
