1,2,3,4,5,6,7,8,9,10
200796_s_at,3,8,7,6,10,10,6,10,6,4
200797_s_at,3,7,1,2,7,10,8,2,1,5
200798_x_at,7,6,2,7,7,1,10,2,7,5
200799_at,6,4,10,9,3,4,3,7,9,8
200800_s_at,7,6,2,7,5,1,10,8,7,6
200801_x_at,6,8,10,10,10,4,6,10,3,4
200802_at,7,1,2,8,5,1,1,8,8,6
200803_s_at,9,9,9,4,8,6,9,9,10,1
200804_at,3,7,1,2,7,10,8,2,1,5
200805_at,4,5,10,10,2,9,2,3,3,7
200806_s_at,7,6,2,7,5,1,10,8,7,6
200807_s_at,5,1,4,8,5,8,1,8,8,6
200808_s_at,7,1,2,8,5,1,1,8,8,6
200809_x_at,7,1,7,6,5,1,1,8,6,6
200810_s_at,5,1,4,8,3,8,1,7,8,8
200811_at,5,1,4,8,5,8,1,8,8,6
200812_at,6,8,7,6,10,4,6,10,6,4
200813_s_at,7,6,2,7,7,1,10,2,7,5
200814_at,7,6,2,7,5,1,10,8,7,6
200815_s_at,3,7,7,2,7,10,8,10,1,4
200816_s_at,7,8,7,6,5,1,6,8,6,4
200817_x_at,5,4,4,9,3,8,3,7,9,8
200818_at,6,4,10,9,3,4,3,7,9,8
200819_s_at,4,5,5,4,8,9,2,9,3,7
200820_at,7,6,7,6,5,1,10,8,6,4
200821_at,6,8,7,6,10,4,6,10,6,4
200822_x_at,3,7,7,2,10,10,8,10,1,4
200823_x_at,5,1,4,8,5,8,1,8,8,6
200824_at,3,7,1,2,10,10,8,10,1,4
200825_s_at,6,8,7,6,3,4,6,7,6,4
200826_at,5,1,4,8,5,8,1,8,8,6
200827_at,7,1,2,8,5,1,1,8,8,6
200828_s_at,6,8,7,6,10,4,6,10,6,4
200829_x_at,3,6,1,7,7,10,10,2,1,5
200830_at,3,7,1,2,7,10,8,2,1,5
200831_s_at,7,1,2,8,5,1,1,8,8,6
200832_s_at,7,6,2,7,5,1,10,8,7,6
200833_s_at,5,4,4,9,3,8,3,7,9,8
200834_s_at,3,7,5,2,10,10,8,10,1,7
200835_s_at,5,1,4,8,5,8,1,8,8,6
200836_s_at,5,1,4,8,5,8,1,8,8,6
200837_at,4,5,5,10,10,9,2,10,3,7
200838_at,7,1,2,8,5,1,1,8,7,6
200839_s_at,5,1,4,8,5,8,1,8,8,6
200840_at,7,1,4,8,5,1,1,8,8,6
200841_s_at,6,4,10,9,3,4,3,7,9,8
200842_s_at,3,7,1,2,7,10,8,2,1,5
200843_s_at,3,7,7,2,7,10,8,2,1,4
200844_s_at,7,8,7,6,5,1,6,8,6,4
200845_s_at,6,8,7,6,10,4,6,10,6,4
200846_s_at,6,8,7,10,10,4,6,10,3,4
200847_s_at,5,1,4,8,5,8,1,8,8,6
200848_at,5,1,4,8,5,8,1,8,8,6
200849_s_at,7,6,2,7,5,1,10,8,7,6
200850_s_at,6,8,7,10,10,4,6,10,3,4
200851_s_at,4,5,5,10,10,9,2,10,3,7
200852_x_at,5,1,4,8,5,8,1,8,8,6
200853_at,7,8,7,6,5,1,6,8,6,4
200854_at,7,6,2,7,5,1,10,8,7,6
200855_at,3,7,1,2,10,10,8,10,1,4
200856_x_at,4,5,10,10,3,9,2,7,3,7
200857_s_at,5,4,4,9,3,8,3,7,9,8
200858_s_at,7,6,2,7,7,1,10,2,7,5
200859_x_at,7,6,2,7,7,1,10,2,7,5
200860_s_at,3,8,7,6,10,10,6,10,6,4
200861_at,5,4,4,9,3,8,3,7,9,8
200862_at,7,6,2,7,5,1,10,8,7,6
200863_s_at,7,6,2,7,7,1,10,2,7,5
200864_s_at,6,8,7,6,3,4,6,7,6,8
200865_at,7,1,2,8,5,1,1,8,8,6
200866_s_at,4,5,5,10,10,9,2,10,3,7
200867_at,7,6,2,7,7,1,10,2,7,5
200868_s_at,3,7,7,2,7,10,8,2,1,4
200869_at,6,8,7,6,10,4,6,10,6,4
