1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
210735_s_at,5,12,4,12,3,5,18,1,2,14,11,7,16,17,8,10,7,12,8,4
210736_x_at,5,20,4,18,8,18,5,18,2,14,2,17,7,5,8,8,19,3,12,4
210737_at,19,19,1,19,15,13,2,10,13,10,12,18,3,3,13,16,11,20,10,8
210738_s_at,13,13,8,17,19,9,20,16,5,7,4,2,1,18,18,4,17,19,7,7
210739_x_at,19,2,19,14,17,11,7,5,16,11,6,8,11,19,1,17,3,6,20,12
210740_s_at,13,13,8,17,19,9,20,16,5,7,4,2,1,12,3,6,17,19,7,7
210741_at,19,19,1,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,19,8
210742_at,20,12,3,6,4,1,18,2,15,20,11,15,1,12,10,6,7,11,8,17
210743_s_at,17,12,3,6,4,10,18,5,15,11,6,8,18,16,10,10,3,11,20,12
210744_s_at,17,12,3,6,4,10,10,2,15,20,18,15,18,16,10,1,8,11,18,17
210745_at,13,13,11,17,19,9,20,16,5,7,11,2,16,17,18,4,7,2,9,7
210746_s_at,16,1,15,16,12,1,10,2,12,16,18,10,13,11,16,1,8,4,18,11
210747_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210748_at,17,8,3,6,4,10,10,2,15,20,18,15,18,16,16,1,8,11,18,17
210749_x_at,5,12,4,12,3,5,18,1,2,20,11,7,16,17,8,10,7,11,8,4
210750_s_at,4,8,18,13,6,17,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210751_s_at,18,17,1,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,10,9
210752_s_at,5,12,4,12,3,5,18,1,2,14,11,7,16,17,8,10,7,12,8,4
210753_s_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210754_s_at,17,12,3,6,4,10,18,2,15,20,18,15,18,16,10,1,3,11,8,17
210755_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,18,4,12,2,9,13
210756_s_at,19,19,19,14,17,11,2,10,16,11,12,8,8,14,20,17,11,20,19,12
210757_x_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,20,3,20,6,19,5
210758_at,5,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210759_s_at,18,19,1,19,15,13,2,10,13,10,12,18,3,3,13,16,11,20,10,8
210760_x_at,13,12,11,12,3,5,18,1,5,7,11,7,16,17,18,10,7,2,9,7
210761_s_at,17,12,3,6,3,5,18,1,15,20,11,7,18,16,10,10,7,11,8,17
210762_s_at,16,8,18,13,6,2,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210763_x_at,17,8,3,6,4,10,10,4,15,16,6,15,18,16,16,1,6,4,18,6
210764_s_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,20,3,20,6,19,5
210765_at,5,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210766_s_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210767_at,5,20,4,14,17,11,5,5,2,14,2,8,8,14,8,10,19,12,12,4
210768_x_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210769_at,17,2,3,14,17,11,7,5,2,11,6,8,18,16,1,17,3,11,20,12
210770_s_at,16,8,18,13,6,2,10,4,17,16,1,19,13,11,4,9,6,4,14,6
210771_at,20,1,15,16,12,1,6,2,12,17,18,10,1,12,3,6,8,19,7,11
210772_at,5,20,4,12,3,5,5,1,2,14,2,7,8,14,8,10,19,12,12,4
210773_s_at,19,2,19,14,17,11,7,5,16,11,14,8,11,19,1,17,20,6,20,12
210774_s_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,2,11,13
210775_x_at,18,17,1,18,8,18,14,18,1,10,7,17,7,5,13,16,18,3,10,9
210776_x_at,17,12,3,6,4,10,18,5,15,11,6,8,18,16,10,10,3,11,20,17
210778_s_at,5,2,4,14,17,11,7,5,2,11,2,8,8,14,1,17,19,12,12,12
210779_x_at,11,15,6,11,20,8,19,3,3,3,5,13,7,5,17,8,12,3,11,13
210780_at,18,19,1,19,15,13,2,10,13,10,12,18,3,3,20,3,11,20,10,8
210781_x_at,17,8,3,6,4,10,10,4,15,16,18,15,18,16,16,1,3,11,18,17
210782_x_at,5,12,4,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,4
210783_x_at,17,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210784_x_at,13,13,11,17,20,9,20,16,3,7,5,2,9,18,18,4,17,2,9,7
210785_s_at,17,2,4,14,17,11,7,5,2,11,6,8,8,14,1,17,3,12,20,12
210786_s_at,18,17,1,18,8,18,14,18,1,10,7,17,7,5,13,16,18,3,10,9
210787_s_at,13,13,8,17,19,9,20,16,5,7,4,2,9,18,18,4,17,2,9,7
210788_s_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,17,19,12,12,12
210789_x_at,13,15,11,11,20,9,20,16,3,7,5,13,9,18,18,4,12,2,9,13
210790_s_at,19,2,19,4,17,11,7,5,16,11,14,8,11,19,1,17,3,6,20,12
210791_s_at,13,13,8,17,19,9,20,16,5,7,4,2,9,18,18,4,17,2,9,7
210792_x_at,17,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210793_s_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,17,8,12,2,9,13
210794_s_at,17,12,3,6,3,5,18,1,15,20,11,7,16,17,10,10,7,11,8,17
210795_s_at,19,5,19,4,15,13,2,14,16,15,14,18,11,19,20,3,20,6,19,5
210796_x_at,17,12,3,6,4,10,18,2,15,20,18,15,18,16,10,1,7,11,8,17
210797_s_at,4,5,18,4,6,17,11,14,17,15,1,19,11,19,4,9,20,18,14,5
210798_x_at,13,13,11,17,20,9,20,16,3,7,5,2,9,18,18,4,17,2,9,7
210799_at,16,16,10,13,18,2,9,4,17,5,1,12,13,11,15,7,6,10,14,1
210800_at,20,1,8,16,19,1,6,13,12,17,4,10,1,12,3,6,8,19,7,11
210801_at,5,20,4,14,17,11,5,18,2,14,2,8,8,14,8,17,19,12,12,12
210802_s_at,11,17,6,18,8,18,14,3,1,3,7,17,7,5,17,8,18,3,11,9
210803_at,20,1,15,16,12,1,6,2,12,17,18,10,13,12,16,18,8,4,18,11
210804_x_at,11,15,11,11,20,8,19,3,3,7,5,13,9,18,18,8,12,2,9,13
210805_x_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,10,9
210806_at,13,12,8,17,19,9,18,2,5,20,11,2,1,12,10,6,7,19,7,7
210807_s_at,19,5,19,4,6,17,2,14,16,15,14,19,11,19,20,3,20,6,19,5
210808_s_at,18,17,1,18,8,18,14,18,1,10,12,17,3,3,13,16,18,20,10,9
210809_s_at,4,5,19,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210810_s_at,16,8,18,13,4,2,10,4,17,16,1,15,13,11,16,1,6,4,18,6
210811_s_at,13,12,11,12,3,5,18,1,5,20,11,7,16,17,10,10,7,11,8,17
210812_at,4,8,18,13,6,17,11,4,17,16,1,19,11,11,4,9,6,6,14,6
210813_s_at,17,12,3,12,3,5,18,1,2,20,11,7,16,17,10,10,7,11,8,17
210814_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210815_s_at,20,1,8,16,19,1,6,2,12,17,4,2,1,12,3,6,8,19,7,11
210816_s_at,4,5,18,13,6,17,11,4,17,16,1,19,11,11,4,9,6,6,14,6
210817_s_at,13,13,11,17,3,9,20,16,5,7,11,2,9,18,18,4,17,2,9,7
210818_s_at,20,13,8,17,19,1,20,2,5,20,4,2,1,12,3,6,17,19,7,7
210819_x_at,20,13,8,17,19,9,20,16,5,17,4,2,1,12,3,6,17,19,7,7
210820_x_at,4,5,18,4,6,17,11,14,17,15,14,19,11,19,4,9,20,6,14,5
210821_x_at,19,2,19,14,17,11,7,5,16,11,6,8,8,14,1,17,3,6,20,12
210822_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210823_s_at,4,2,18,4,6,17,7,5,16,11,6,19,11,19,1,17,3,6,20,12
210824_at,18,17,6,18,8,18,14,3,1,3,7,17,7,5,17,8,18,3,11,9
210825_s_at,18,17,6,18,8,18,14,18,1,3,7,17,7,5,13,16,18,3,10,9
210826_x_at,17,2,3,14,17,11,7,5,15,11,6,8,18,16,1,17,3,11,20,12
