1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200700_s_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200701_at,2,3,3,2,3,5,1,1,3,5,3,2,2,2,2,1,3
200702_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200703_at,3,3,3,4,4,5,1,2,2,4,3,1,5,2,4,5,4
200704_at,3,3,3,3,4,5,1,2,5,1,3,1,5,2,4,5,4
200705_s_at,5,3,3,3,5,5,1,2,5,1,3,1,5,2,4,5,4
200706_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200707_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200708_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200709_at,5,1,1,2,5,4,4,3,3,5,3,4,2,5,2,4,3
200710_at,5,1,1,3,5,4,4,3,5,1,3,4,2,5,2,4,3
200711_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200712_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200713_s_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200714_x_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200715_x_at,2,1,1,2,3,4,4,3,3,5,5,2,2,5,2,4,3
200716_x_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200717_x_at,5,1,1,3,5,4,4,2,5,1,3,4,2,5,2,5,3
200718_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200719_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200720_s_at,3,3,3,4,4,5,1,2,2,4,3,1,5,2,4,5,4
200721_s_at,2,1,1,2,3,4,4,1,3,5,3,2,2,5,2,1,3
200722_s_at,3,3,3,4,4,5,1,5,2,4,3,1,5,2,4,2,4
200723_s_at,1,4,4,1,1,2,3,4,4,2,2,5,4,4,5,3,5
200724_at,4,4,4,1,1,2,3,4,4,3,2,5,4,4,5,3,5
200725_x_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200726_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200727_s_at,1,2,5,1,1,1,2,4,4,2,5,3,1,1,3,3,1
200728_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200729_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200730_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200731_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200732_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200733_s_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200734_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200735_x_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200736_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
